payload,attack,category,weight,description,tags
"session closed","BAIXO","BAIXO","1","Sessão SSH fechada","ssh,session,closed"
"Connection closed","BAIXO","BAIXO","1","Conexão SSH fechada","ssh,connection,closed"
"preauth","MÉDIO","MÉDIO","4","Pré-autenticação SSH","ssh,preauth"
"Access denied","ALTO","ALTO","7","Acesso negado MySQL","mysql,access,denied"
"SELECT.*FROM.*sensitive","ALTO","ALTO","7","Consulta dados sensíveis","mysql,select,sensitive"
"DROP.*TABLE","CRÍTICO","CRÍTICO","10","Drop de tabela","mysql,drop,crítico"
"DELETE.*FROM","ALTO","ALTO","7","Delete de dados","mysql,delete,data"
"UPDATE.*WHERE","ALTO","ALTO","7","Update de dados","mysql,update,data"
"INSERT.*INTO","MÉDIO","MÉDIO","4","Insert de dados","mysql,insert,data"
"SHOW.*DATABASES","MÉDIO","MÉDIO","4","Lista databases","mysql,show,databases"
"SHOW.*TABLES","MÉDIO","MÉDIO","4","Lista tabelas","mysql,show,tables"
"Permission denied","ALTO","ALTO","7","Permissão negada","nginx,permission,denied"
"too large body","MÉDIO","MÉDIO","4","Corpo muito grande","nginx,body,large"
"upstream response","MÉDIO","MÉDIO","4","Resposta upstream","nginx,upstream,response"
"fastcgi","MÉDIO","MÉDIO","4","Erro FastCGI","nginx,fastcgi,error"
"backup","INFO","INFO","0","Backup do sistema","backup,system,normal"
"Verificação antivírus","INFO","INFO","0","Verificação antivírus","antivirus,scan,normal"
"Atualização automática","INFO","INFO","0","Atualização automática","update,auto,normal"
"Backup iniciado","INFO","INFO","0","Backup iniciado","backup,started,normal"
"Login sucesso","BAIXO","BAIXO","1","Login bem-sucedido","login,success,auth"
"Upload arquivo","BAIXO","BAIXO","1","Upload de arquivo","upload,file,normal"
"Download arquivo","BAIXO","BAIXO","1","Download de arquivo","download,file,normal"
"Consulta registro","BAIXO","BAIXO","1","Consulta de registro","query,record,normal"
"chmod.*777","CRÍTICO","CRÍTICO","10","Permissões perigsas","permissions,chmod,cr�ítico|CrR�ÍTICO|permissao perigosa|10|permissions,chmod,crítico"
"""""><STYLE>@import""""javascript:alert('XSS')"""";</STYLE>","MÉDIO","MÉDIO","4","XSS Refletido - CSS + import JS: Executar alert via CSS injection","xss,web,injection"
">""""'><img%20src%3D%26%23x6a;…alert(%26quot;%20XSS%20Test%20Successful%26quot;)>","MÉDIO","MÉDIO","4","XSS Refletido - URL-Encoding + HTML entity evasion: Executar alert com codificação dupla","xss,web,injection"
">%22%27><img%20src%3d%22javascript:alert(%27%20XSS%27)%22>","MÉDIO","MÉDIO","4","XSS Refletido - URL-Encoding parcial: Executar alert","xss,web,injection"
"'%uff1cscript%uff1ealert('XSS')%uff1c/script%uff1e'","MÉDIO","MÉDIO","4","XSS Refletido - Unicode-Escape (UTF-16): Bypass filtros e executar alert","xss,web,injection"
""""""""";!--""""<XSS>=&{()}","BAIXO","BAIXO","1","XSS Refletido - Injeção com caracteres especiais: Quebrar parser e injetar <XSS>","xss,web,injection"
"<IMG SRC=""""javascript:alert('XSS');"""">","MÉDIO","MÉDIO","4","XSS Refletido - Tag IMG com atributo JS: Executar alert","xss,web,injection"
"<script>alert('XSS')</script>","ALTO","ALTO","7","XSS Refletido - Tag <script> direta: Executar alert","xss,web,injection"
"%3cscript%3ealert('XSS')%3c/script%3e","ALTO","ALTO","7","XSS Refletido - URL-Encoding completa: Executar alert","xss,web,injection"
"<![CDATA[<script>var n=0;while(true){n++;}</script>]]>","ALTO","ALTO","7","XSS em XML/HTML - CDATA embedding: Executar loop infinito (DoS)","xss,web,injection"
"<?xml version=""""1.0""""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM """"file:///etc/passwd"""">]><foo>&xee;</foo>","CRÍTICO","CRÍTICO","10","XXE - External Entity (Unix passwd): Exfiltrar /etc/passwd","xxe,xml,external"
